anio,region,indice,valor,error_estandar
2017,O'Higgins,FGT1_brecha,7.802703094635527,0.38728311059585124
2020,O'Higgins,FGT1_brecha,10.299698344669373,0.6491714653132286
2022,O'Higgins,FGT1_brecha,7.105237625244415,0.3190357840685514
2024,O'Higgins,FGT1_brecha,5.483365360903769,0.293052634392627
2009,Maule,FGT1_brecha,18.379606784093365,0.8710308456441088
2011,Maule,FGT1_brecha,14.72940388454324,0.5602718711514325
2013,Maule,FGT1_brecha,10.777320017696267,0.5154966922353389
2015,Maule,FGT1_brecha,9.927801016540542,0.41779874090751334
2017,Maule,FGT1_brecha,8.381512956641982,0.3215380177635993
2020,Maule,FGT1_brecha,11.490173544944918,0.5313201791775157
2022,Maule,FGT1_brecha,8.642662323553877,0.3347824041590973
2024,Maule,FGT1_brecha,7.9429839950096,0.32446904775206725
2017,Ñuble,FGT1_brecha,11.245121099740892,0.4692927996096287
2020,Ñuble,FGT1_brecha,13.317898287413144,0.7906357730290313
2022,Ñuble,FGT1_brecha,10.474584075706655,0.49570778353186423
2024,Ñuble,FGT1_brecha,7.899424852735596,0.3855942646709712
2009,Biobío,FGT1_brecha,18.322322900238547,0.5562857458631195
2011,Biobío,FGT1_brecha,17.212568122680587,1.0227362682374823
2013,Biobío,FGT1_brecha,12.917963393925588,0.5219977468624378
2015,Biobío,FGT1_brecha,10.928227212182316,0.3178557531927569
2017,Biobío,FGT1_brecha,9.036259889370426,0.3883580444876314
2020,Biobío,FGT1_brecha,12.4391592438924,0.5021351868284054
2022,Biobío,FGT1_brecha,7.358130341252123,0.25697218236590474
2024,Biobío,FGT1_brecha,5.858954380963067,0.20870729172398783
2009,Araucanía,FGT1_brecha,26.66033135730309,0.9066087544479138
2011,Araucanía,FGT1_brecha,21.358729627805275,0.9797497045457518
2013,Araucanía,FGT1_brecha,14.671804610648762,0.5524506949753644
2015,Araucanía,FGT1_brecha,13.211554795831107,0.43802373159253477
2017,Araucanía,FGT1_brecha,11.195278938109508,0.3994389840529684
2020,Araucanía,FGT1_brecha,15.815685447750585,0.6140753069946657
2022,Araucanía,FGT1_brecha,10.825335092633734,0.39139445936897527
2024,Araucanía,FGT1_brecha,9.910367133377225,0.39177736220695325
2009,Los Ríos,FGT1_brecha,20.478304258959078,2.768424540053832
2011,Los Ríos,FGT1_brecha,16.459146462810857,0.8440151528260352
2013,Los Ríos,FGT1_brecha,13.009994296664154,0.5916920118086132
2015,Los Ríos,FGT1_brecha,9.611528495947892,0.6601915048412549
2017,Los Ríos,FGT1_brecha,9.172559733375818,0.5232938179144079
2020,Los Ríos,FGT1_brecha,12.910585887193026,0.5601557341151226
2022,Los Ríos,FGT1_brecha,5.79461026052533,0.28017301977324177
2024,Los Ríos,FGT1_brecha,6.662258934733513,0.35188866247149203
2009,Los Lagos,FGT1_brecha,16.170138050734725,0.8841602209636885
2011,Los Lagos,FGT1_brecha,15.211354316236015,0.8348613447269964
2013,Los Lagos,FGT1_brecha,10.921509538811051,0.567997043681765
2015,Los Lagos,FGT1_brecha,9.999575019024274,0.41974064321105714
2017,Los Lagos,FGT1_brecha,8.990086089130251,0.505576185131397
2020,Los Lagos,FGT1_brecha,11.350588911514034,0.6016659834029252
2022,Los Lagos,FGT1_brecha,7.213308362233814,0.404760518638153
2024,Los Lagos,FGT1_brecha,5.036464458450226,0.28677805908962817
2009,Aysén,FGT1_brecha,14.30420463615133,1.4215224402750817
2011,Aysén,FGT1_brecha,9.299561750755851,0.5610368272702813
2013,Aysén,FGT1_brecha,6.1290110324371865,0.3767892608472913
